latitude,longitude,time,date,xco2,xco2_quality_flag
8.813211,105.27017,2023-12-17 06:20:54.227999,2023-12-17,421.86044,0
8.791618,105.28055,2023-12-17 06:20:54.281992,2023-12-17,422.3607,0
8.831559,105.265656,2023-12-17 06:20:54.562014,2023-12-17,420.39554,0
8.820814,105.270874,2023-12-17 06:20:54.588005,2023-12-17,422.3023,0
8.799033,105.28113,2023-12-17 06:20:54.641998,2023-12-17,422.18253,0
8.788131,105.28608,2023-12-17 06:20:54.668994,2023-12-17,422.14087,0
8.839178,105.26631,2023-12-17 06:20:54.921015,2023-12-17,421.38898,0
8.828332,105.27147,2023-12-17 06:20:54.948011,2023-12-17,422.1673,0
8.817403,105.27655,2023-12-17 06:20:54.975008,2023-12-17,420.977,0
8.806518,105.28151,2023-12-17 06:20:55.002004,2023-12-17,422.63687,0
8.795506,105.28638,2023-12-17 06:20:55.029000,2023-12-17,421.7688,0
8.813896,105.281746,2023-12-17 06:20:55.363016,2023-12-17,421.92932,0
8.802832,105.28653,2023-12-17 06:20:55.389006,2023-12-17,422.20273,0
8.875972,105.257034,2023-12-17 06:20:55.588000,2023-12-17,420.80267,0
8.843295,105.27224,2023-12-17 06:20:55.668989,2023-12-17,421.06564,0
8.821231,105.28191,2023-12-17 06:20:55.723022,2023-12-17,421.51382,0
8.810083,105.28661,2023-12-17 06:20:55.749012,2023-12-17,421.489,0
8.894338,105.252396,2023-12-17 06:20:55.921009,2023-12-17,420.57642,0
8.850645,105.272514,2023-12-17 06:20:56.028995,2023-12-17,421.73828,0
8.839585,105.27732,2023-12-17 06:20:56.055991,2023-12-17,421.37863,0
8.828433,105.28202,2023-12-17 06:20:56.082988,2023-12-17,421.38684,0
8.901832,105.25297,2023-12-17 06:20:56.282021,2023-12-17,421.27493,0
8.857918,105.27273,2023-12-17 06:20:56.389001,2023-12-17,421.1845,0
8.846793,105.27746,2023-12-17 06:20:56.415998,2023-12-17,420.96268,0
8.941761,105.237946,2023-12-17 06:20:56.562004,2023-12-17,420.61588,0
8.931027,105.24319,2023-12-17 06:20:56.587994,2023-12-17,421.11353,0
8.90924,105.25347,2023-12-17 06:20:56.641987,2023-12-17,420.96756,0
8.8983345,105.258446,2023-12-17 06:20:56.669024,2023-12-17,420.90933,0
8.88733,105.26334,2023-12-17 06:20:56.696020,2023-12-17,420.94778,0
8.865115,105.272865,2023-12-17 06:20:56.749007,2023-12-17,421.3001,0
8.960138,105.233345,2023-12-17 06:20:56.895013,2023-12-17,420.1562,0
8.949414,105.238594,2023-12-17 06:20:56.921004,2023-12-17,420.8661,0
8.938572,105.24378,2023-12-17 06:20:56.948000,2023-12-17,420.8643,0
8.927646,105.24889,2023-12-17 06:20:56.974997,2023-12-17,421.5903,0
8.91675,105.253876,2023-12-17 06:20:57.001993,2023-12-17,420.9516,0
8.905764,105.25878,2023-12-17 06:20:57.028990,2023-12-17,421.41116,0
8.967879,105.23403,2023-12-17 06:20:57.255019,2023-12-17,420.86328,0
8.957037,105.23922,2023-12-17 06:20:57.282016,2023-12-17,420.96964,0
8.946111,105.24433,2023-12-17 06:20:57.309012,2023-12-17,421.3966,0
8.935214,105.24932,2023-12-17 06:20:57.336009,2023-12-17,421.3384,0
8.924219,105.25423,2023-12-17 06:20:57.363005,2023-12-17,421.8937,0
8.902021,105.26377,2023-12-17 06:20:57.415992,2023-12-17,421.5509,0
8.975502,105.23466,2023-12-17 06:20:57.615025,2023-12-17,419.5686,0
8.964575,105.23978,2023-12-17 06:20:57.642022,2023-12-17,420.6264,0
8.953678,105.24477,2023-12-17 06:20:57.669018,2023-12-17,421.15753,0
8.942682,105.24968,2023-12-17 06:20:57.696015,2023-12-17,420.871,0
8.93162,105.25449,2023-12-17 06:20:57.723011,2023-12-17,420.94354,0
8.972163,105.24021,2023-12-17 06:20:58.001988,2023-12-17,420.09375,0
8.96117,105.245125,2023-12-17 06:20:58.029024,2023-12-17,420.4859,0
