latitude,longitude,time,date,xco2,xco2_quality_flag
8.65212,104.88144,2023-06-15 06:25:47.083019,2023-06-15,414.88406,0
8.755668,104.90859,2023-06-15 06:25:48.642013,2023-06-15,418.66602,0
8.777174,104.91636,2023-06-15 06:25:48.948026,2023-06-15,419.66013,0
8.801738,104.93575,2023-06-15 06:25:49.228008,2023-06-15,419.01404,0
8.798778,104.92406,2023-06-15 06:25:49.255004,2023-06-15,418.13223,0
8.817427,104.920006,2023-06-15 06:25:49.588014,2023-06-15,417.58545,0
8.85169,104.9002,2023-06-15 06:25:50.281996,2023-06-15,416.73734,0
