latitude,longitude,time,date,xco2,xco2_quality_flag
21.505707,103.19932,2023-05-07 06:23:51.308994,2023-05-07,424.75064,0
22.122746,103.05734,2023-05-07 06:24:01.921006,2023-05-07,426.6064,0
22.151262,103.05728,2023-05-07 06:24:02.228025,2023-05-07,426.97888,0
22.150246,103.0439,2023-05-07 06:24:02.614987,2023-05-07,426.10562,0
22.140362,103.03897,2023-05-07 06:24:02.642024,2023-05-07,425.40924,0
22.139544,103.02521,2023-05-07 06:24:03.029027,2023-05-07,424.11148,0
22.148602,103.01577,2023-05-07 06:24:03.388993,2023-05-07,425.1496,0
22.167467,103.010864,2023-05-07 06:24:03.723008,2023-05-07,425.19662,0
22.234426,103.01627,2023-05-07 06:24:04.309004,2023-05-07,425.49216,0
22.356419,102.99276,2023-05-07 06:24:06.281996,2023-05-07,423.80548,0
22.41189,102.97709,2023-05-07 06:24:07.281991,2023-05-07,425.9386,0
