date,latitude,longitude,time,xco2,xco2_quality_flag,rice_proportion_in_buffer,is_rice_influenced
2024-01-02,18.661495,105.406420,2024-01-02 06:23:19.228017152,420.548430,0.000000,0.358025,True
2024-01-02,18.859920,105.375660,2024-01-02 06:23:22.975009536,424.292850,0.000000,0.444444,True
2024-01-02,18.852098,105.381880,2024-01-02 06:23:23.002005760,424.097780,0.000000,0.567901,True
2024-01-02,18.836267,105.394120,2024-01-02 06:23:23.055998720,422.887730,0.000000,0.567901,True
2024-01-02,18.844206,105.388040,2024-01-02 06:23:23.029002240,424.179630,0.000000,0.555556,True
2024-01-27,12.622003,108.445540,2024-01-27 06:15:12.749022208,423.124900,0.000000,0.395062,True
2024-02-03,10.507984,107.403145,2024-02-03 06:20:36.228015872,422.233000,0.000000,0.370370,True
2024-02-03,10.890032,107.337850,2024-02-03 06:20:43.748997120,422.918640,0.000000,0.481481,True
2024-02-03,10.887420,107.333630,2024-02-03 06:20:43.363000320,421.527920,0.000000,0.345679,True
2024-02-03,10.878670,107.338005,2024-02-03 06:20:43.388991232,421.632050,0.000000,0.308642,True
2024-02-03,10.950557,107.324760,2024-02-03 06:20:44.748991744,422.529850,0.000000,0.333333,True
2024-02-05,11.218462,108.360695,2024-02-05 06:09:11.389002752,422.612980,0.000000,0.382716,True
2024-02-05,11.208145,108.365524,2024-02-05 06:09:11.415999232,420.824830,0.000000,0.395062,True
2024-02-10,9.463078,106.017120,2024-02-10 06:26:49.562020096,425.479000,0.000000,0.543210,True
2024-02-10,9.445182,106.025085,2024-02-10 06:26:49.615006976,426.020720,0.000000,0.382716,True
2024-02-10,9.456316,106.024666,2024-02-10 06:26:49.975013376,427.292140,0.000000,0.617284,True
2024-02-10,9.476480,106.020300,2024-02-10 06:26:50.308988416,424.868400,0.000000,0.567901,True
2024-02-10,9.467517,106.024070,2024-02-10 06:26:50.336025088,425.412900,0.000000,0.580247,True
2024-02-10,9.458499,106.027770,2024-02-10 06:26:50.363021312,427.066100,0.000000,0.580247,True
2024-02-10,9.469620,106.027040,2024-02-10 06:26:50.722987520,425.872070,0.000000,0.617284,True
2024-02-10,9.474316,106.016850,2024-02-10 06:26:49.921020160,424.680300,0.000000,0.518519,True
2024-02-10,9.465336,106.020800,2024-02-10 06:26:49.948016640,425.425100,0.000000,0.617284,True
2024-02-28,13.977980,108.096245,2024-02-28 06:16:00.028991232,422.489470,0.000000,0.617284,True
2024-02-28,12.553311,108.404884,2024-02-28 06:15:35.562014464,423.172100,0.000000,0.370370,True
2024-02-28,12.558057,108.409225,2024-02-28 06:15:36.723022336,423.599400,0.000000,0.456790,True
2024-02-28,12.548696,108.411860,2024-02-28 06:15:36.749012736,422.826350,0.000000,0.308642,True
2024-02-28,12.556555,108.408134,2024-02-28 06:15:36.336019456,423.391700,0.000000,0.456790,True
2024-02-28,13.943299,108.097440,2024-02-28 06:15:58.562010624,422.863220,0.000000,0.333333,True
2024-02-28,13.963436,108.093020,2024-02-28 06:15:58.895020288,423.209530,0.000000,0.617284,True
2024-02-28,13.945228,108.099990,2024-02-28 06:15:58.948007168,422.956730,0.000000,0.370370,True
