date,latitude,longitude,time,xco2,xco2_quality_flag,rice_proportion_in_buffer,is_rice_influenced
2021-01-02,22.740501,106.144390,2021-01-02 06:17:23.895001600,415.188600,0.000000,0.308642,True
2021-01-02,22.715103,106.180600,2021-01-02 06:17:24.389024256,415.522280,0.000000,0.333333,True
2021-01-02,22.730429,106.167230,2021-01-02 06:17:24.335997184,415.961640,0.000000,0.308642,True
2021-01-02,22.687300,106.191920,2021-01-02 06:17:24.083011072,415.835450,0.000000,0.432099,True
2021-01-02,22.695044,106.185356,2021-01-02 06:17:24.056014848,416.127900,0.000000,0.382716,True
2021-01-02,20.695410,106.637650,2021-01-02 06:16:50.282027776,412.786700,0.000000,0.493827,True
2021-01-02,20.652166,106.661920,2021-01-02 06:16:50.029001472,417.091500,0.000000,0.444444,True
2021-01-02,20.659935,106.655495,2021-01-02 06:16:50.002004992,416.464700,0.000000,0.456790,True
2021-01-02,20.667627,106.649000,2021-01-02 06:16:49.975008768,416.244300,0.000000,0.407407,True
2021-01-02,20.675348,106.642380,2021-01-02 06:16:49.948012288,415.773930,0.000000,0.382716,True
2021-01-02,20.683014,106.635700,2021-01-02 06:16:49.921015808,414.519700,0.000000,0.493827,True
2021-01-02,20.655237,106.646996,2021-01-02 06:16:49.615002624,416.974060,0.000000,0.407407,True
2021-01-02,20.647516,106.653610,2021-01-02 06:16:49.641999104,416.800380,0.000000,0.395062,True
2021-01-02,20.687687,106.644260,2021-01-02 06:16:50.309024000,413.980440,0.000000,0.444444,True
2021-01-02,20.679989,106.650740,2021-01-02 06:16:50.336020480,414.626300,0.000000,0.493827,True
2021-01-02,20.664406,106.663520,2021-01-02 06:16:50.389007616,415.881300,0.000000,0.432099,True
2021-01-02,20.828444,106.611570,2021-01-02 06:16:52.642023168,417.240540,0.000000,0.345679,True
2021-01-02,20.916388,106.585820,2021-01-02 06:16:53.947990528,415.710400,0.000000,0.444444,True
2021-01-02,20.924042,106.579120,2021-01-02 06:16:53.920994048,415.276900,0.000000,0.432099,True
2021-01-02,20.775845,106.618970,2021-01-02 06:16:51.614991616,416.002260,0.000000,0.308642,True
2021-01-02,20.724722,106.649506,2021-01-02 06:16:51.389002240,416.071500,0.000000,0.407407,True
2021-01-02,20.732523,106.643135,2021-01-02 06:16:51.363011584,418.017900,0.000000,0.308642,True
2021-01-02,20.747960,106.630170,2021-01-02 06:16:51.309018624,417.209300,0.000000,0.469136,True
2021-01-02,20.768137,106.625620,2021-01-02 06:16:51.641988352,416.240970,0.000000,0.320988,True
2021-01-02,20.755669,106.623535,2021-01-02 06:16:51.282022144,416.732400,0.000000,0.358025,True
2021-01-02,20.770897,106.610100,2021-01-02 06:16:51.227989248,417.128400,0.000000,0.308642,True
2021-01-02,20.735514,106.628130,2021-01-02 06:16:50.948006912,418.556800,0.000000,0.395062,True
2021-01-02,20.743180,106.621450,2021-01-02 06:16:50.921010432,418.065900,0.000000,0.493827,True
2021-01-02,20.750765,106.614730,2021-01-02 06:16:50.895019776,416.992460,0.000000,0.370370,True
2021-01-02,20.676594,106.665050,2021-01-02 06:16:50.749013760,414.975920,0.000000,0.395062,True
2021-01-02,20.656536,106.669790,2021-01-02 06:16:50.416004096,416.096400,0.000000,0.580247,True
2021-01-02,20.763323,106.616840,2021-01-02 06:16:51.255025920,416.473500,0.000000,0.395062,True
2021-01-02,20.760456,106.632126,2021-01-02 06:16:51.669025024,416.564300,0.000000,0.382716,True
2021-01-02,20.752705,106.638580,2021-01-02 06:16:51.696021248,415.747830,0.000000,0.444444,True
2021-01-02,20.744904,106.644960,2021-01-02 06:16:51.723017728,417.023560,0.000000,0.370370,True
2021-01-02,20.785130,106.635635,2021-01-02 06:16:52.388996864,417.064240,0.000000,0.370370,True
2021-01-02,20.831339,106.596270,2021-01-02 06:16:52.228024064,416.415600,0.000000,0.370370,True
2021-01-02,20.757202,106.646670,2021-01-02 06:16:52.083023872,416.040830,0.000000,0.358025,True
2021-01-02,20.765066,106.640380,2021-01-02 06:16:52.055987200,416.318500,0.000000,0.395062,True
2021-01-02,20.780634,106.627570,2021-01-02 06:16:52.001994240,417.097300,0.000000,0.370370,True
