date,latitude,longitude,time,xco2,xco2_quality_flag,rice_proportion_in_buffer,is_rice_influenced
2020-01-08,21.010561,106.824760,2020-01-08 00:57:32.850995968,415.345370,0.000000,0.333333,True
2020-01-08,21.017542,106.798270,2020-01-08 00:57:32.490989824,415.263520,0.000000,0.345679,True
2020-01-08,21.015350,106.759155,2020-01-08 00:57:32.103987200,414.236450,0.000000,0.333333,True
2020-01-08,20.936480,106.867860,2020-01-08 00:57:34.158009600,414.431340,0.000000,0.308642,True
2020-01-08,20.996649,106.877660,2020-01-08 00:57:33.572013824,412.880460,0.000000,0.308642,True
2020-01-08,21.022390,106.732600,2020-01-08 00:57:31.743015680,414.776150,0.000000,0.469136,True
2020-01-08,21.038595,106.718704,2020-01-08 00:57:31.410006016,413.723330,0.000000,0.320988,True
2020-01-16,16.364847,107.765510,2020-01-16 06:15:16.083021312,409.353300,0.000000,0.518519,True
2020-01-16,16.381018,107.753990,2020-01-16 06:15:16.028988416,412.093780,0.000000,0.506173,True
2020-01-16,16.389032,107.748110,2020-01-16 06:15:16.001991936,411.468720,0.000000,0.444444,True
2020-01-16,16.396978,107.742170,2020-01-16 06:15:15.974995712,412.366600,0.000000,0.407407,True
2020-01-16,16.404955,107.736110,2020-01-16 06:15:15.947998976,412.705050,0.000000,0.407407,True
2020-01-16,16.344696,107.770010,2020-01-16 06:15:15.749006080,410.483400,0.000000,0.345679,True
2020-01-16,16.360870,107.758490,2020-01-16 06:15:15.696018944,412.377350,0.000000,0.530864,True
2020-01-16,16.433037,107.725494,2020-01-16 06:15:16.255018240,413.682200,0.000000,0.308642,True
2020-01-16,16.368885,107.752620,2020-01-16 06:15:15.669022464,411.488530,0.000000,0.506173,True
2020-01-16,16.384811,107.740620,2020-01-16 06:15:15.614989312,410.424350,0.000000,0.555556,True
2020-01-16,16.392740,107.734505,2020-01-16 06:15:15.587992832,411.206300,0.000000,0.469136,True
2020-01-16,16.340721,107.763000,2020-01-16 06:15:15.363009280,410.531300,0.000000,0.395062,True
2020-01-16,16.348738,107.757126,2020-01-16 06:15:15.336012800,411.213380,0.000000,0.567901,True
2020-01-16,16.356688,107.751200,2020-01-16 06:15:15.309016576,411.942260,0.000000,0.543210,True
2020-01-16,16.364668,107.745140,2020-01-16 06:15:15.282020096,411.235600,0.000000,0.308642,True
