latitude,longitude,time,date,xco2,xco2_quality_flag
20.253117,105.38094,2022-07-23 08:38:48.904018,2022-07-23,417.61908,0
20.275349,105.38101,2022-07-23 08:38:48.931014,2022-07-23,415.14948,0
20.2472,105.39485,2022-07-23 08:38:49.210997,2022-07-23,416.68198,0
20.268524,105.392975,2022-07-23 08:38:49.237993,2022-07-23,417.0135,0
20.29173,105.395195,2022-07-23 08:38:49.264989,2022-07-23,413.4529,0
20.240627,105.40733,2022-07-23 08:38:49.517010,2022-07-23,416.5699,0
20.262394,105.40658,2022-07-23 08:38:49.544006,2022-07-23,417.74323,0
20.285791,105.409386,2022-07-23 08:38:49.571003,2022-07-23,415.81818,0
20.30794,105.40923,2022-07-23 08:38:49.597999,2022-07-23,415.82748,0
20.2552,105.41911,2022-07-23 08:38:49.850019,2022-07-23,417.11337,0
20.278826,105.422646,2022-07-23 08:38:49.877016,2022-07-23,415.677,0
20.300678,105.42191,2022-07-23 08:38:49.904012,2022-07-23,416.03503,0
20.294983,105.4365,2022-07-23 08:38:50.210991,2022-07-23,416.05832,0
20.355726,105.45092,2022-07-23 08:38:50.597994,2022-07-23,416.35535,0
20.259645,105.45992,2022-07-23 08:38:50.796021,2022-07-23,415.72403,0
20.230915,105.47134,2022-07-23 08:38:51.076004,2022-07-23,415.96286,0
20.253422,105.47294,2022-07-23 08:38:51.103000,2022-07-23,416.26846,0
20.34278,105.47626,2022-07-23 08:38:51.210986,2022-07-23,410.03,0
20.314169,105.489044,2022-07-23 08:38:51.490003,2022-07-23,415.76538,0
20.358616,105.49004,2022-07-23 08:38:51.543995,2022-07-23,416.09924,0
20.262253,105.49819,2022-07-23 08:38:51.742023,2022-07-23,417.13794,0
20.284964,105.50036,2022-07-23 08:38:51.769019,2022-07-23,415.38766,0
20.307285,105.50141,2022-07-23 08:38:51.796016,2022-07-23,416.67682,0
20.35185,105.50293,2022-07-23 08:38:51.850009,2022-07-23,417.0906,0
20.278728,105.51321,2022-07-23 08:38:52.075998,2022-07-23,415.98843,0
20.301178,105.51468,2022-07-23 08:38:52.102995,2022-07-23,416.60492,0
20.317122,105.528175,2022-07-23 08:38:52.436004,2022-07-23,416.5588,0
20.31131,105.54128,2022-07-23 08:38:52.742018,2022-07-23,416.65753,0
