latitude,longitude,time,date,xco2,xco2_quality_flag
15.044979,107.69525,2022-06-01 04:42:49.571002,2022-06-01,416.16333,0
15.068822,107.675026,2022-06-01 04:42:49.624995,2022-06-01,418.20844,0
15.061558,107.70819,2022-06-01 04:42:49.904011,2022-06-01,415.36026,0
15.078114,107.721085,2022-06-01 04:42:50.237021,2022-06-01,415.63318,0
15.094716,107.73399,2022-06-01 04:42:50.570996,2022-06-01,417.25854,0
15.118552,107.713745,2022-06-01 04:42:50.624989,2022-06-01,416.89685,0
15.09933,107.75704,2022-06-01 04:42:50.877010,2022-06-01,417.97696,0
15.111313,107.74695,2022-06-01 04:42:50.904006,2022-06-01,415.7692,0
15.139816,107.749756,2022-06-01 04:42:51.264012,2022-06-01,418.31815,0
15.156403,107.762634,2022-06-01 04:42:51.597987,2022-06-01,419.41687,0
15.180243,107.74237,2022-06-01 04:42:51.652020,2022-06-01,419.30118,0
15.1610565,107.78567,2022-06-01 04:42:51.904001,2022-06-01,417.83044,0
15.172995,107.775566,2022-06-01 04:42:51.930997,2022-06-01,419.09186,0
15.196806,107.75531,2022-06-01 04:42:51.984990,2022-06-01,419.26422,0
15.208637,107.74515,2022-06-01 04:42:52.012027,2022-06-01,418.10596,0
15.177567,107.79866,2022-06-01 04:42:52.237010,2022-06-01,418.04938,0
15.182158,107.82166,2022-06-01 04:42:52.543989,2022-06-01,418.1196,0
15.194136,107.81158,2022-06-01 04:42:52.571026,2022-06-01,417.7246,0
15.222762,107.81432,2022-06-01 04:42:52.930992,2022-06-01,418.5338,0
15.2154255,107.84744,2022-06-01 04:42:53.210008,2022-06-01,418.18063,0
15.227399,107.837364,2022-06-01 04:42:53.237005,2022-06-01,417.38293,0
15.232002,107.86038,2022-06-01 04:42:53.544024,2022-06-01,420.0616,0
15.272525,107.85317,2022-06-01 04:42:53.931026,2022-06-01,417.69455,0
15.28446,107.84304,2022-06-01 04:42:53.958023,2022-06-01,417.77496,0
15.329625,107.85876,2022-06-01 04:42:54.652004,2022-06-01,418.13394,0
15.341507,107.84856,2022-06-01 04:42:54.679001,2022-06-01,417.60355,0
15.353373,107.83833,2022-06-01 04:42:54.705997,2022-06-01,417.52652,0
15.322301,107.892006,2022-06-01 04:42:54.931021,2022-06-01,417.80264,0
15.334252,107.88186,2022-06-01 04:42:54.958017,2022-06-01,416.95892,0
15.346186,107.87169,2022-06-01 04:42:54.985014,2022-06-01,418.73026,0
15.358089,107.86149,2022-06-01 04:42:55.012010,2022-06-01,418.47482,0
15.369956,107.851265,2022-06-01 04:42:55.039007,2022-06-01,418.06937,0
15.338952,107.9049,2022-06-01 04:42:55.263990,2022-06-01,419.18628,0
15.362789,107.88461,2022-06-01 04:42:55.318024,2022-06-01,417.4896,0
15.355474,107.9179,2022-06-01 04:42:55.598006,2022-06-01,417.49466,0
15.457545,107.93919,2022-06-01 04:42:57.012000,2022-06-01,417.6826,0
15.469412,107.92898,2022-06-01 04:42:57.038996,2022-06-01,417.32877,0
15.46221,107.96235,2022-06-01 04:42:57.318013,2022-06-01,418.26276,0
15.4741125,107.952156,2022-06-01 04:42:57.345009,2022-06-01,417.2813,0
15.49068,107.96512,2022-06-01 04:42:57.679025,2022-06-01,417.3201,0
15.471479,108.008606,2022-06-01 04:42:57.931005,2022-06-01,417.60355,0
15.483452,107.99844,2022-06-01 04:42:57.958001,2022-06-01,418.22345,0
15.495411,107.98825,2022-06-01 04:42:57.984998,2022-06-01,417.6533,0
15.507333,107.978035,2022-06-01 04:42:58.011994,2022-06-01,418.20166,0
15.519223,107.9678,2022-06-01 04:42:58.038990,2022-06-01,417.69366,0
15.476026,108.03172,2022-06-01 04:42:58.237018,2022-06-01,418.78793,0
15.487987,108.021614,2022-06-01 04:42:58.264014,2022-06-01,417.2943,0
15.511935,108.00124,2022-06-01 04:42:58.318007,2022-06-01,416.9106,0
15.523866,107.99103,2022-06-01 04:42:58.345004,2022-06-01,416.91208,0
15.535774,107.98078,2022-06-01 04:42:58.372000,2022-06-01,417.51288,0
15.492694,108.04466,2022-06-01 04:42:58.570993,2022-06-01,418.1059,0
15.504651,108.03455,2022-06-01 04:42:58.597990,2022-06-01,418.36084,0
15.51659,108.02442,2022-06-01 04:42:58.625026,2022-06-01,417.904,0
15.528505,108.01425,2022-06-01 04:42:58.652023,2022-06-01,417.2021,0
15.540409,108.00405,2022-06-01 04:42:58.679019,2022-06-01,417.5552,0
15.552299,107.99381,2022-06-01 04:42:58.706016,2022-06-01,418.61984,0
15.56416,107.98354,2022-06-01 04:42:58.733012,2022-06-01,417.89706,0
15.509222,108.05765,2022-06-01 04:42:58.904003,2022-06-01,418.5442,0
15.521188,108.04754,2022-06-01 04:42:58.930999,2022-06-01,417.14474,0
15.53313,108.03741,2022-06-01 04:42:58.957996,2022-06-01,417.579,0
15.568809,108.00685,2022-06-01 04:42:59.039025,2022-06-01,418.3168,0
15.525751,108.070694,2022-06-01 04:42:59.237013,2022-06-01,418.96512,0
15.585456,108.01979,2022-06-01 04:42:59.371995,2022-06-01,419.40033,0
15.5588875,108.09671,2022-06-01 04:42:59.903997,2022-06-01,417.9471,0
