date,latitude,longitude,time,xco2,xco2_quality_flag
2021-01-02,22.267744,102.3848,2021-01-02 02:44:01.382990848,414.2366,0.0
2021-01-02,22.226696,102.4,2021-01-02 02:44:02.023019520,415.57544,0.0
2021-01-02,22.271406,102.46547,2021-01-02 02:44:02.158001664,414.83456,0.0
2021-01-02,22.280415,102.47849,2021-01-02 02:44:02.184998144,413.89203,0.0
2021-01-02,22.264347,102.492645,2021-01-02 02:44:02.518007808,415.67487,0.0
2021-01-02,22.23931,102.493835,2021-01-02 02:44:02.825026816,415.482,0.0
2021-01-02,22.24832,102.50686,2021-01-02 02:44:02.852023040,414.61496,0.0
2021-01-02,22.223137,102.50792,2021-01-02 02:44:03.157996288,416.23065,0.0
2021-01-02,22.23215,102.520935,2021-01-02 02:44:03.184992768,415.55588,0.0
2021-01-02,22.19806,102.50909,2021-01-02 02:44:03.464009472,418.03912,0.0
2021-01-02,22.207054,102.52214,2021-01-02 02:44:03.491005952,415.2102,0.0
2021-01-02,22.216064,102.53515,2021-01-02 02:44:03.518002176,415.5992,0.0
2021-01-02,22.182085,102.523346,2021-01-02 02:44:03.798024960,418.01807,0.0
2021-01-02,22.191065,102.53638,2021-01-02 02:44:03.825021184,416.36618,0.0
2021-01-02,22.20008,102.549416,2021-01-02 02:44:03.852017920,416.1471,0.0
2021-01-02,22.209112,102.56241,2021-01-02 02:44:03.879014144,415.9534,0.0
2021-01-02,22.19298,102.57651,2021-01-02 02:44:04.212024064,415.3469,0.0
2021-01-02,21.419233,103.252106,2021-01-02 02:44:20.212017664,414.0623,0.0
2021-01-02,21.37621,103.227066,2021-01-02 02:44:20.463997952,415.92404,0.0
2021-01-02,21.385143,103.240105,2021-01-02 02:44:20.490994176,414.1043,0.0
2021-01-02,21.394087,103.25309,2021-01-02 02:44:20.517990656,412.85434,0.0
2021-01-02,21.333578,103.20208,2021-01-02 02:44:20.717023744,413.4378,0.0
2021-01-02,21.360147,103.241196,2021-01-02 02:44:20.798013184,412.14807,0.0
2021-01-02,21.377968,103.26712,2021-01-02 02:44:20.852005888,412.18436,0.0
2021-01-02,21.386917,103.28007,2021-01-02 02:44:20.879002624,413.55096,0.0
2021-01-02,21.317387,103.21601,2021-01-02 02:44:21.049993216,414.79654,0.0
2021-01-02,21.352837,103.26804,2021-01-02 02:44:21.158019328,415.22427,0.0
2021-01-02,21.292416,103.21686,2021-01-02 02:44:21.356006656,415.3067,0.0
2021-01-02,21.301243,103.22997,2021-01-02 02:44:21.383002880,414.83725,0.0
2021-01-02,21.310097,103.243065,2021-01-02 02:44:21.409999360,415.84433,0.0
2021-01-02,21.276262,103.23084,2021-01-02 02:44:21.690021888,415.54788,0.0
2021-01-02,21.285097,103.24397,2021-01-02 02:44:21.717018624,414.70822,0.0
2021-01-02,21.338541,103.322205,2021-01-02 02:44:21.878996992,414.31323,0.0
2021-01-02,21.260138,103.24497,2021-01-02 02:44:22.022991360,415.27298,0.0
2021-01-02,21.268944,103.25806,2021-01-02 02:44:22.049987840,415.9767,0.0
2021-01-02,21.27778,103.27111,2021-01-02 02:44:22.077024512,413.01022,0.0
2021-01-02,21.306171,103.35005,2021-01-02 02:44:22.545016320,415.30127,0.0
2021-01-02,21.220478,103.29992,2021-01-02 02:44:23.050022656,416.09027,0.0
2021-01-02,21.229315,103.31299,2021-01-02 02:44:23.077019136,415.3036,0.0
2021-01-02,21.238182,103.32604,2021-01-02 02:44:23.104015616,415.2519,0.0
2021-01-02,21.247072,103.33908,2021-01-02 02:44:23.131011840,415.44196,0.0
2021-01-02,21.25599,103.35209,2021-01-02 02:44:23.158008576,413.91016,0.0
2021-01-02,21.264925,103.365074,2021-01-02 02:44:23.185005056,414.25995,0.0
2021-01-02,21.221918,103.339874,2021-01-02 02:44:23.437025280,415.8563,0.0
2021-01-02,21.239716,103.36594,2021-01-02 02:44:23.491017984,413.74136,0.0
2021-01-02,21.25764,103.39192,2021-01-02 02:44:23.545010944,412.51892,0.0
2021-01-02,21.17938,103.31477,2021-01-02 02:44:23.690011136,414.0043,0.0
2021-01-02,21.20582,103.35392,2021-01-02 02:44:23.771000320,414.0164,0.0
2021-01-02,21.214691,103.36694,2021-01-02 02:44:23.797997056,415.45428,0.0
2021-01-02,21.232515,103.39293,2021-01-02 02:44:23.851989760,413.223,0.0
2021-01-02,21.241472,103.40588,2021-01-02 02:44:23.879026432,413.40793,0.0
2021-01-02,21.163242,103.32872,2021-01-02 02:44:24.023020800,411.99683,0.0
2021-01-02,21.180847,103.35484,2021-01-02 02:44:24.077013760,413.6878,0.0
2021-01-02,21.189684,103.367874,2021-01-02 02:44:24.104009984,415.85495,0.0
2021-01-02,21.198551,103.38089,2021-01-02 02:44:24.131006720,415.39343,0.0
2021-01-02,21.20745,103.3939,2021-01-02 02:44:24.158003200,415.40717,0.0
2021-01-02,21.155846,103.3557,2021-01-02 02:44:24.382986752,415.0014,0.0
2021-01-02,21.164667,103.36875,2021-01-02 02:44:24.410023424,414.2187,0.0
2021-01-02,21.173513,103.38179,2021-01-02 02:44:24.437019904,414.112,0.0
2021-01-02,21.182392,103.39481,2021-01-02 02:44:24.464016128,414.136,0.0
2021-01-02,21.200209,103.420815,2021-01-02 02:44:24.518009088,415.3848,0.0
2021-01-02,21.209127,103.43374,2021-01-02 02:44:24.545005568,414.1314,0.0
