file_date,latitude,longitude,sza,vza,xco2,xco2_sigma,xco2_qual,time,GID_0,COUNTRY,SAMPLE_1
2023/01/01,20.78486,106.048416,61.533283,21.622416,421.42148,0.9070952,0,2023/01/01 02:01:43.794,VNM,Vietnam,3
2023/01/01,21.799646,105.42887,62.619686,26.843534,419.31808,0.54283494,0,2023/01/01 02:01:53.569,VNM,Vietnam,4
2023/01/01,21.77123,105.412605,62.611526,26.943913,418.9196,0.7515801,0,2023/01/01 02:01:53.515,VNM,Vietnam,1
2023/01/01,21.757027,105.40439,62.60751,26.997961,418.35156,0.67623943,0,2023/01/01 02:01:53.488,VNM,Vietnam,10
2023/01/01,21.742844,105.39598,62.60364,27.054678,419.40738,0.6538805,0,2023/01/01 02:01:53.461,VNM,Vietnam,10
2023/01/01,20.785686,106.16172,61.454132,20.567488,421.67917,0.7483524,0,2023/01/01 02:01:44.596,VNM,Vietnam,2
2023/01/01,20.779099,106.1448,61.46127,20.777508,421.1469,0.8267488,0,2023/01/01 02:01:44.569,VNM,Vietnam,11
2023/01/01,20.765959,106.11079,61.475697,21.199049,421.23938,0.85036695,0,2023/01/01 02:01:44.515,VNM,Vietnam,2
2023/01/01,20.752836,106.07653,61.49032,21.622553,421.7914,0.7902949,0,2023/01/01 02:01:44.461,VNM,Vietnam,2
2023/01/01,20.8149,106.18134,61.461483,20.149313,421.34222,0.83403397,0,2023/01/01 02:01:44.317,VNM,Vietnam,2
2023/01/01,20.83097,106.16731,61.482986,20.148653,421.81165,0.78268725,0,2023/01/01 02:01:43.983,VNM,Vietnam,2
2023/01/01,20.824339,106.15048,61.49002,20.357702,422.18365,0.7278877,0,2023/01/01 02:01:43.956,VNM,Vietnam,3
2023/01/01,20.811132,106.116684,61.50424,20.777374,421.42496,0.72883743,0,2023/01/01 02:01:43.902,VNM,Vietnam,3
2023/01/01,20.80454,106.0997,61.511417,20.987982,421.23795,0.7825956,0,2023/01/01 02:01:43.875,VNM,Vietnam,3
2023/01/01,20.797985,106.08268,61.518658,21.198994,421.2113,0.79158264,0,2023/01/01 02:01:43.848,VNM,Vietnam,3
2023/01/01,21.785437,105.42076,62.615585,26.892435,419.17947,0.6090785,0,2023/01/01 02:01:53.542,VNM,Vietnam,2
2023/01/01,20.927155,106.08278,61.612057,20.148605,421.54782,0.7817103,0,2023/01/01 02:01:41.983,VNM,Vietnam,2
2023/01/01,20.920534,106.06593,61.61911,20.357704,420.9386,0.69168246,0,2023/01/01 02:01:41.956,VNM,Vietnam,2
2023/01/01,20.913923,106.04903,61.626213,20.567343,421.45853,0.7389967,0,2023/01/01 02:01:41.929,VNM,Vietnam,3
2023/01/01,21.019403,105.93316,61.784,20.778135,421.91885,0.740081,0,2023/01/01 02:01:39.569,VNM,Vietnam,1
2023/01/01,21.00623,105.89915,61.7984,21.199623,422.7787,0.8862375,0,2023/01/01 02:01:39.515,VNM,Vietnam,4
2023/01/01,21.055342,105.96981,61.784214,20.148485,420.88892,0.9080868,0,2023/01/01 02:01:39.317,VNM,Vietnam,4
2023/01/01,21.035482,105.91915,61.805473,20.77669,421.6865,0.79391164,0,2023/01/01 02:01:39.236,VNM,Vietnam,2
2023/01/01,21.028885,105.90215,61.812664,20.987328,421.4965,0.7635915,0,2023/01/01 02:01:39.209,VNM,Vietnam,2
2023/01/01,21.071327,105.95554,61.8058,20.149765,421.8396,0.8958365,0,2023/01/01 02:01:38.983,VNM,Vietnam,4
2023/01/01,21.064686,105.93868,61.81285,20.35898,421.5282,0.8162711,0,2023/01/01 02:01:38.956,VNM,Vietnam,3
