latitude,longitude,time,date,xco2,xco2_quality_flag
19.312542,103.881325,2022-01-03 06:29:29.587988,2022-01-03,418.76086,0
20.885702,103.525215,2022-01-03 06:29:55.975010,2022-01-03,415.75583,0
20.890442,103.5334,2022-01-03 06:29:56.363019,2022-01-03,419.2426,0
20.88263,103.53976,2022-01-03 06:29:56.389009,2022-01-03,415.43286,0
20.874786,103.546,2022-01-03 06:29:56.416006,2022-01-03,418.15588,0
20.89498,103.541275,2022-01-03 06:29:56.749015,2022-01-03,418.37683,0
20.974064,103.499504,2022-01-03 06:29:57.282024,2022-01-03,413.63705,0
20.994167,103.49469,2022-01-03 06:29:57.614993,2022-01-03,417.91693,0
20.986446,103.50131,2022-01-03 06:29:57.641990,2022-01-03,418.06897,0
20.978754,103.50781,2022-01-03 06:29:57.668986,2022-01-03,417.24994,0
21.006523,103.496506,2022-01-03 06:29:57.974999,2022-01-03,418.42874,0
20.998825,103.503006,2022-01-03 06:29:58.001996,2022-01-03,419.81085,0
20.991058,103.50945,2022-01-03 06:29:58.028992,2022-01-03,418.92184,0
20.983242,103.515816,2022-01-03 06:29:58.055989,2022-01-03,417.8364,0
20.975388,103.52208,2022-01-03 06:29:58.083025,2022-01-03,415.96344,0
20.995441,103.51729,2022-01-03 06:29:58.415995,2022-01-03,418.4834,0
21.081984,103.46881,2022-01-03 06:29:58.921001,2022-01-03,415.8443,0
21.109701,103.45729,2022-01-03 06:29:59.228020,2022-01-03,415.51263,0
21.129837,103.45252,2022-01-03 06:29:59.561995,2022-01-03,417.4129,0
21.122267,103.45927,2022-01-03 06:29:59.588026,2022-01-03,416.65372,0
21.142412,103.45456,2022-01-03 06:29:59.920995,2022-01-03,417.56915,0
21.134825,103.46126,2022-01-03 06:29:59.947992,2022-01-03,417.7774,0
21.1117,103.480934,2022-01-03 06:30:00.029022,2022-01-03,416.59055,0
21.103907,103.487335,2022-01-03 06:30:00.056018,2022-01-03,415.89215,0
21.139666,103.46984,2022-01-03 06:30:00.336000,2022-01-03,417.01187,0
21.131922,103.476326,2022-01-03 06:30:00.362997,2022-01-03,418.56192,0
21.124128,103.48273,2022-01-03 06:30:00.388987,2022-01-03,416.30637,0
21.152142,103.47172,2022-01-03 06:30:00.696006,2022-01-03,416.91937,0
21.14435,103.47812,2022-01-03 06:30:00.723003,2022-01-03,418.75143,0
21.136518,103.48441,2022-01-03 06:30:00.748993,2022-01-03,416.78812,0
21.21054,103.433846,2022-01-03 06:30:00.895000,2022-01-03,415.76224,0
21.195364,103.44727,2022-01-03 06:30:00.948027,2022-01-03,417.48584,0
21.156525,103.47957,2022-01-03 06:30:01.083009,2022-01-03,418.38663,0
21.230503,103.42892,2022-01-03 06:30:01.228009,2022-01-03,415.65454,0
21.22293,103.43566,2022-01-03 06:30:01.255006,2022-01-03,416.462,0
21.207605,103.449005,2022-01-03 06:30:01.308999,2022-01-03,417.92184,0
21.199913,103.45553,2022-01-03 06:30:01.335995,2022-01-03,417.12094,0
21.192152,103.46199,2022-01-03 06:30:01.362991,2022-01-03,418.4897,0
21.250452,103.423996,2022-01-03 06:30:01.562025,2022-01-03,416.98798,0
21.204306,103.46347,2022-01-03 06:30:01.722997,2022-01-03,418.47925,0
21.216667,103.46523,2022-01-03 06:30:02.083004,2022-01-03,418.99615,0
21.267927,103.434944,2022-01-03 06:30:02.308993,2022-01-03,418.8017,0
21.25253,103.44802,2022-01-03 06:30:02.363026,2022-01-03,418.51926,0
