latitude,longitude,time,date,xco2,xco2_quality_flag
8.769898,105.26258,2022-11-28 06:20:15.562025,2022-11-28,417.09576,0
8.788565,105.25795,2022-11-28 06:20:15.894994,2022-11-28,414.40283,0
8.792551,105.26156,2022-11-28 06:20:16.642003,2022-11-28,415.56918,0
8.844499,105.2443,2022-11-28 06:20:16.894989,2022-11-28,413.12988,0
8.788694,105.26504,2022-11-28 06:20:17.029005,2022-11-28,416.00656,0
8.777386,105.268906,2022-11-28 06:20:17.056002,2022-11-28,416.65936,0
8.851955,105.24411,2022-11-28 06:20:17.254995,2022-11-28,415.68448,0
8.840823,105.24837,2022-11-28 06:20:17.281991,2022-11-28,410.90326,0
8.7958765,105.26442,2022-11-28 06:20:17.389011,2022-11-28,415.30792,0
8.784501,105.2682,2022-11-28 06:20:17.416008,2022-11-28,416.3704,0
8.859316,105.243866,2022-11-28 06:20:17.615001,2022-11-28,415.81744,0
8.8481245,105.248055,2022-11-28 06:20:17.641997,2022-11-28,415.66797,0
8.802974,105.26371,2022-11-28 06:20:17.749017,2022-11-28,414.79105,0
8.899969,105.23075,2022-11-28 06:20:17.895024,2022-11-28,415.56467,0
8.855447,105.247574,2022-11-28 06:20:18.002003,2022-11-28,416.06528,0
8.844188,105.25155,2022-11-28 06:20:18.029000,2022-11-28,414.48358,0
8.90747,105.23054,2022-11-28 06:20:18.254989,2022-11-28,416.581,0
8.862706,105.24702,2022-11-28 06:20:18.363015,2022-11-28,416.492,0
8.851389,105.2509,2022-11-28 06:20:18.389006,2022-11-28,415.60928,0
8.914859,105.23027,2022-11-28 06:20:18.614995,2022-11-28,414.3205,0
8.858523,105.25017,2022-11-28 06:20:18.749012,2022-11-28,415.95862,0
8.911001,105.234085,2022-11-28 06:20:19.001998,2022-11-28,416.93002,0
8.899741,105.238075,2022-11-28 06:20:19.028995,2022-11-28,417.52866,0
8.906938,105.23762,2022-11-28 06:20:19.389000,2022-11-28,417.41672,0
8.914076,105.23708,2022-11-28 06:20:19.749007,2022-11-28,414.51343,0
9.029549,105.19952,2022-11-28 06:20:20.228022,2022-11-28,414.053,0
9.018526,105.20389,2022-11-28 06:20:20.255019,2022-11-28,411.59827,0
9.037007,105.19943,2022-11-28 06:20:20.587988,2022-11-28,414.9897,0
9.025872,105.203735,2022-11-28 06:20:20.615025,2022-11-28,411.53128,0
9.033133,105.20344,2022-11-28 06:20:20.974991,2022-11-28,411.58936,0
9.040422,105.202934,2022-11-28 06:20:21.336003,2022-11-28,413.89172,0
9.043407,105.2056,2022-11-28 06:20:22.083011,2022-11-28,411.56042,0
10.1762495,104.91684,2022-11-28 06:20:40.895020,2022-11-28,415.46826,0
10.165215,104.92147,2022-11-28 06:20:40.921010,2022-11-28,415.9305,0
10.194776,104.91244,2022-11-28 06:20:41.227989,2022-11-28,416.70273,0
10.172591,104.92164,2022-11-28 06:20:41.282022,2022-11-28,416.11047,0
10.161362,104.92611,2022-11-28 06:20:41.309018,2022-11-28,415.4308,0
10.202267,104.912674,2022-11-28 06:20:41.587995,2022-11-28,417.52145,0
10.231781,104.903595,2022-11-28 06:20:41.895014,2022-11-28,415.23657,0
10.209567,104.91278,2022-11-28 06:20:41.948001,2022-11-28,417.33862,0
10.198322,104.91726,2022-11-28 06:20:41.974998,2022-11-28,417.7851,0
10.227916,104.90823,2022-11-28 06:20:42.282017,2022-11-28,415.59357,0
10.21667,104.91271,2022-11-28 06:20:42.309013,2022-11-28,416.8666,0
10.2054615,104.91706,2022-11-28 06:20:42.336010,2022-11-28,417.9582,0
10.194157,104.921326,2022-11-28 06:20:42.363006,2022-11-28,417.14215,0
10.223821,104.91253,2022-11-28 06:20:42.669019,2022-11-28,415.46756,0
10.212516,104.9168,2022-11-28 06:20:42.696016,2022-11-28,416.23923,0
10.201137,104.92097,2022-11-28 06:20:42.723012,2022-11-28,417.18033,0
10.189713,104.925064,2022-11-28 06:20:42.749002,2022-11-28,418.86615,0
10.23089,104.912285,2022-11-28 06:20:43.029025,2022-11-28,415.61282,0
10.219528,104.916466,2022-11-28 06:20:43.056022,2022-11-28,416.1723,0
10.208096,104.92056,2022-11-28 06:20:43.083018,2022-11-28,416.35614,0
