latitude,longitude,time,date,xco2,xco2_quality_flag
9.415784,104.95739,2023-03-09 00:23:39.085001,2023-03-09,420.9103,0
9.174912,105.00129,2023-03-09 00:23:42.562994,2023-03-09,420.2688,0
9.165945,105.026764,2023-03-09 00:23:42.923000,2023-03-09,421.80728,0
9.173838,105.03989,2023-03-09 00:23:42.949996,2023-03-09,420.49115,0
9.141226,105.02591,2023-03-09 00:23:43.229013,2023-03-09,421.1201,0
9.172881,105.0784,2023-03-09 00:23:43.336999,2023-03-09,421.47232,0
9.147195,105.11614,2023-03-09 00:23:44.031021,2023-03-09,421.65936,0
9.155201,105.12921,2023-03-09 00:23:44.058017,2023-03-09,420.96222,0
9.163226,105.142235,2023-03-09 00:23:44.085014,2023-03-09,420.37445,0
9.138312,105.14139,2023-03-09 00:23:44.390986,2023-03-09,420.63177,0
9.146345,105.154434,2023-03-09 00:23:44.418023,2023-03-09,421.23984,0
9.1295,105.16675,2023-03-09 00:23:44.751998,2023-03-09,420.63434,0
