latitude,longitude,time,date,xco2,xco2_quality_flag
10.669529,107.765144,2023-01-16 09:41:57.724988,2023-01-16,418.10428,0
10.680461,107.7544,2023-01-16 09:41:57.752025,2023-01-16,417.9098,0
10.686371,107.77756,2023-01-16 09:41:58.057997,2023-01-16,418.9459,0
10.697315,107.766815,2023-01-16 09:41:58.084994,2023-01-16,419.62314,0
10.747707,107.80423,2023-01-16 09:41:59.084989,2023-01-16,420.46664,0
10.742613,107.83819,2023-01-16 09:41:59.364005,2023-01-16,419.16586,0
10.753569,107.827484,2023-01-16 09:41:59.391002,2023-01-16,419.33426,0
10.764498,107.81676,2023-01-16 09:41:59.417998,2023-01-16,419.42737,0
10.748453,107.86132,2023-01-16 09:41:59.671024,2023-01-16,419.37997,0
10.770406,107.83991,2023-01-16 09:41:59.725017,2023-01-16,419.538,0
10.781344,107.82917,2023-01-16 09:41:59.752014,2023-01-16,420.10645,0
10.732129,107.90571,2023-01-16 09:41:59.923005,2023-01-16,421.2823,0
10.771065,107.89686,2023-01-16 09:42:00.310007,2023-01-16,419.4833,0
10.782087,107.886185,2023-01-16 09:42:00.337003,2023-01-16,419.46228,0
