latitude,longitude,time,date,xco2,xco2_quality_flag
9.351593,106.06859,2024-04-23 06:20:12.228025,2024-04-23,424.96454,0
9.370471,106.06416,2024-04-23 06:20:12.562001,2024-04-23,422.0979,0
9.333589,106.02202,2024-04-23 06:20:12.696017,2024-04-23,423.48853,0
9.326385,106.01339,2024-04-23 06:20:12.723014,2024-04-23,424.53586,0
9.319226,106.0047,2024-04-23 06:20:12.749004,2024-04-23,424.62976,0
9.359676,106.02622,2024-04-23 06:20:13.001990,2024-04-23,423.66742,0
9.345198,106.00904,2024-04-23 06:20:13.056023,2024-04-23,423.27777,0
9.356829,105.996025,2024-04-23 06:20:13.415989,2024-04-23,423.15686,0
9.390034,106.00897,2024-04-23 06:20:13.696012,2024-04-23,422.46283,0
9.382808,106.000374,2024-04-23 06:20:13.723008,2024-04-23,421.44672,0
9.3756275,105.9917,2024-04-23 06:20:13.748999,2024-04-23,424.19165,0
9.438995,105.98746,2024-04-23 06:20:14.723003,2024-04-23,423.95737,0
10.26383,105.83378,2024-04-23 06:20:28.974988,2024-04-23,424.00772,0
