date,latitude,longitude,time,xco2,xco2_quality_flag
2023-01-01,21.028393,105.58833,2023-01-01 02:00:52.209024256,421.02847,0.0
2023-01-01,21.025652,105.6122,2023-01-01 02:00:52.236020480,420.57437,0.0
2023-01-01,21.022919,105.636116,2023-01-01 02:00:52.263016960,420.97998,0.0
2023-01-01,21.0203,105.66009,2023-01-01 02:00:52.290013440,421.7616,0.0
2023-01-01,21.017687,105.68411,2023-01-01 02:00:52.317009920,420.71735,0.0
2023-01-01,21.018538,105.55477,2023-01-01 02:00:52.488000512,421.53406,0.0
2023-01-01,21.01565,105.57861,2023-01-01 02:00:52.514996992,421.41647,0.0
2023-01-01,21.012814,105.602486,2023-01-01 02:00:52.541993728,422.07272,0.0
2023-01-01,21.010042,105.626396,2023-01-01 02:00:52.568989952,421.8354,0.0
2023-01-01,21.007292,105.65035,2023-01-01 02:00:52.596026624,421.30856,0.0
2023-01-01,21.005634,105.545235,2023-01-01 02:00:52.794013952,421.00693,0.0
2023-01-01,21.002659,105.56903,2023-01-01 02:00:52.821010432,421.925,0.0
2023-01-01,20.996897,105.61673,2023-01-01 02:00:52.875003392,420.99484,0.0
2023-01-01,20.994118,105.64063,2023-01-01 02:00:52.901999616,421.07578,0.0
2023-01-01,20.991375,105.66458,2023-01-01 02:00:52.928996096,421.9327,0.0
2023-01-01,20.988682,105.68856,2023-01-01 02:00:52.955992576,421.6339,0.0
2023-01-01,20.989704,105.55947,2023-01-01 02:00:53.127989248,420.1916,0.0
2023-01-01,20.98674,105.58326,2023-01-01 02:00:53.155025920,421.58514,0.0
2023-01-01,20.983809,105.607086,2023-01-01 02:00:53.182022400,421.75348,0.0
2023-01-01,20.978148,105.65483,2023-01-01 02:00:53.236015104,421.90897,0.0
2023-01-01,20.975403,105.67876,2023-01-01 02:00:53.263011328,421.28674,0.0
2023-01-01,20.972689,105.7027,2023-01-01 02:00:53.290008064,421.93607,0.0
2023-01-01,20.969933,105.7267,2023-01-01 02:00:53.317004544,421.29462,0.0
2023-01-01,20.973593,105.57339,2023-01-01 02:00:53.460998656,419.7184,0.0
2023-01-01,20.97069,105.59719,2023-01-01 02:00:53.487995136,420.6984,0.0
2023-01-01,20.962065,105.66891,2023-01-01 02:00:53.569024768,421.3323,0.0
2023-01-01,20.956718,105.71686,2023-01-01 02:00:53.623017728,420.86154,0.0
2023-01-01,20.954035,105.74092,2023-01-01 02:00:53.650014208,421.24725,0.0
2023-01-01,20.954796,105.61154,2023-01-01 02:00:53.821004800,421.45502,0.0
2023-01-01,20.951885,105.635345,2023-01-01 02:00:53.848001536,420.09695,0.0
2023-01-01,20.946245,105.68306,2023-01-01 02:00:53.901994240,421.7326,0.0
2023-01-01,20.94345,105.70699,2023-01-01 02:00:53.928990720,420.82257,0.0
2023-01-01,20.940742,105.73095,2023-01-01 02:00:53.956027392,421.3782,0.0
2023-01-01,20.938084,105.75495,2023-01-01 02:00:53.983023616,422.00027,0.0
2023-01-01,20.941822,105.60189,2023-01-01 02:00:54.128024064,419.91205,0.0
2023-01-01,20.93887,105.62569,2023-01-01 02:00:54.155020544,420.41473,0.0
2023-01-01,20.933115,105.67338,2023-01-01 02:00:54.209013248,421.37198,0.0
2023-01-01,20.930313,105.69728,2023-01-01 02:00:54.236009472,421.61566,0.0
2023-01-01,20.927565,105.72122,2023-01-01 02:00:54.263006208,420.7923,0.0
2023-01-01,20.924849,105.745186,2023-01-01 02:00:54.290002688,420.1593,0.0
2023-01-01,20.922165,105.769196,2023-01-01 02:00:54.316998912,421.81024,0.0
2023-01-01,20.925875,105.61614,2023-01-01 02:00:54.460993280,420.70465,0.0
2023-01-01,20.92291,105.63991,2023-01-01 02:00:54.487990016,420.65024,0.0
2023-01-01,20.91714,105.687546,2023-01-01 02:00:54.542022912,421.57138,0.0
2023-01-01,20.91433,105.71142,2023-01-01 02:00:54.569019392,422.48843,0.0
2023-01-01,20.908863,105.75927,2023-01-01 02:00:54.623012352,421.21133,0.0
2023-01-01,20.906208,105.78326,2023-01-01 02:00:54.650008576,420.99655,0.0
2023-01-01,20.904089,105.67784,2023-01-01 02:00:54.847995904,421.08215,0.0
2023-01-01,20.901222,105.70168,2023-01-01 02:00:54.874992384,422.01154,0.0
2023-01-01,20.898403,105.72554,2023-01-01 02:00:54.901988864,421.6278,0.0
2023-01-01,20.892918,105.77337,2023-01-01 02:00:54.956021760,421.20822,0.0
2023-01-01,20.878029,105.658615,2023-01-01 02:00:55.460988160,421.0408,0.0
2023-01-01,20.875078,105.68236,2023-01-01 02:00:55.488024832,421.59467,0.0
2023-01-01,20.869259,105.72999,2023-01-01 02:00:55.542017536,421.73526,0.0
2023-01-01,20.866426,105.75385,2023-01-01 02:00:55.569014016,422.2977,0.0
2023-01-01,20.863613,105.77777,2023-01-01 02:00:55.596010496,421.64752,0.0
2023-01-01,20.860899,105.801704,2023-01-01 02:00:55.623006720,422.097,0.0
